StudyID	Age-Min	Age-Max	MALE	FEMALE	Unknown	Other Gender	White/ Caucasian	European	Asian Korean	Asian	Black / African 	Black or African American 	African	African Barbedian	Indian/Native American	Native Hawaiian or Pacific Islander	American Indian or Alaska Native	Multiple Races	Hispanic	Non Hispanic	Other/ Unknown	Missing	Ashkenazi Jewish	French Canadian 	Polish 	Italian	"England,Ireland (2)"	Ireland 	Lebanese	"Irish, Italian"	"Germany [non Ashkenazi jewish],England ,Ireland "	Han_Chinese	Puerto Rican	Hawaiian	Mexican	British	Swiss	Spaniard	Portugese	French	Finnish	German	Russian	Ukrainian	Romanian	Hungarian	Czehs	Jewish	Israeli	Canadian	Dutch Canadian	American (USA)	European American	Mexican American	Peruvian	venezuelan	Cuban	Indian	Japanese	Chinese	Filipino	Middle Eastern	Arabic	Omani Arabic	Pakistani	Turkish	Amhara	Hamer
phs000448.v1.p1	19	89	2164	932																			1		1																	1	1	1	1	1	1		1			1					1											
phs000449.v2.p1	18	60	42																																																																1	1
phs000450.v1.p1	29	89	30	19																																																																
phs000451.v1.p1						2																																																														
phs000452.v1.p1	16	85	68	54																																																																
phs000455.v1.p1			7	3																																																	1															
phs000456.v1.p1	15	60	692	623																																																																
phs000472.v1.p1	51	89																																																																		
phs000474.v1.p1			76	70		1																																																														
phs000475.v1.p1			1																																																																	
phs000476.v1.p1			10	10																																																																
phs000477.v1.p1			16	15																																																																
phs000478.v1.p1			7	6																																																																
phs000479.v1.p1																																																																				
phs000482.v1.p1			350	267																																																																
phs000484.v1.p1			5	2																																																																
phs000485.v1.p1			4																																																																	
phs000488.v1.p1	36	87						1		1			1																																																							
phs000490.v1.p1			3923	3500	7				1	1		1					1	1	1																																		1					1	1	1								
phs000491.v1.p1	56	67	2	1			1										1	1																																																		
phs000492.v1.p1			30	28																																																																
phs000493.v1.p1																																																																				
phs000494.v1.p1			2543	2019			1			1		1					1	1	1																																																	
phs000495.v1.p1			599	425			1			1		1					1	1	1	1																																																
phs000497.v1.p1			185	91																																																																
phs000500.v1.p1																																																																				
phs000501.v1.p1																																																																				
phs000502.v1.p1						16																																																														
phs000504.v1.p1	0.083	16	50	34		6	1			1		1																																																								
phs000506.v1.p1																																																																				
phs000508.v1.p1	0.25	72	19	16																																																																
phs000511.v1.p1			37	11																																																																
phs000513.v1.p1						89																																																														
phs000523.v1.p1	36	69		1799																																																																
phs000550.v1.p1																																																																				
phs000205.v4.p2	0	70	2259	1472		690																																																														
phs000206.v3.p2			3974	3773																																																																
phs000207.v1.p1			2252	0																																																																
phs000209.v10.p2	46	87	115	136			1					1							1																																																	
